"","cuedAR","uncuedAR","sameDirection1S0D","responseAR","barkod"
"155",-0.13899593,-0.13899593,"Ungrouped",-0.0767789208571429,8
"176",-0.13899593,-0.09266412,"Ungrouped",-0.00992872607142857,8
"197",-0.13899593,-0.0463323,"Ungrouped",-0.0213843957692308,8
"218",-0.13899593,-4.8e-07,"Ungrouped",-0.0377523314814815,8
"239",-0.13899593,0.04633134,"Ungrouped",-0.0888031308333333,8
"260",-0.13899593,0.09266316,"Ungrouped",-0.00817668264705883,8
"281",-0.13899593,0.13899498,"Ungrouped",-0.0546058360714286,8
"302",-0.13899593,0.18532679,"Ungrouped",-0.0592022475,8
"323",-0.13899593,0.23165861,"Ungrouped",-0.0498962842307692,8
"344",-0.13899593,0.27799043,"Ungrouped",-0.092664116,8
"365",-0.13899593,0.32432225,"Ungrouped",-0.00159812793103448,8
"386",-0.13899593,0.37065407,"Ungrouped",-0.109512050454545,8
"407",-0.13899593,0.41698588,"Ungrouped",-0.102960074444444,8
"428",-0.13899593,0.4633177,"Ungrouped",-0.0415393510344828,8
"449",-0.13899593,-0.46331866,"Grouped",0.030404775625,8
"470",-0.13899593,-0.41698684,"Grouped",-0.0755944992105263,8
"491",-0.13899593,-0.37065503,"Grouped",-0.0735863079411765,8
"512",-0.13899593,-0.32432321,"Grouped",-0.02151168,8
"533",-0.13899593,-0.27799139,"Grouped",0.00421150454545454,8
"554",-0.13899593,-0.23165957,"Grouped",-0.100136989354839,8
"575",-0.13899593,-0.18532775,"Grouped",-0.148648395833333,8
"596",-0.13899593,-0.13899593,"Grouped",-0.130415967777778,8
"617",-0.13899593,-0.09266412,"Grouped",-0.0822020922580645,8
"638",-0.13899593,-0.0463323,"Grouped",-0.0479869717857143,8
"659",-0.13899593,-4.8e-07,"Grouped",-0.0694982070833333,8
"680",-0.13899593,0.04633134,"Grouped",-0.0322923521212121,8
"701",-0.13899593,0.09266316,"Grouped",-0.0561602593939394,8
"722",-0.13899593,0.13899498,"Grouped",-0.0777183680645161,8
"743",-0.13899593,0.18532679,"Grouped",-0.0904578385714286,8
"764",-0.13899593,0.23165861,"Grouped",0.0198560138095238,8
"785",-0.13899593,0.27799043,"Grouped",-0.0772201761904762,8
"806",-0.13899593,0.32432225,"Grouped",-0.155111349565217,8
"827",-0.13899593,0.37065407,"Grouped",-0.071152915,8
"848",-0.13899593,0.41698588,"Grouped",-0.0803089636666667,8
"869",-0.13899593,0.4633177,"Grouped",-0.145614766285714,8
"9",-0.09266412,-0.46331866,"Ungrouped",-0.0926641159090909,9
"30",-0.09266412,-0.41698684,"Ungrouped",-0.0568622568181818,9
"51",-0.09266412,-0.37065503,"Ungrouped",-0.0121930636842105,9
"72",-0.09266412,-0.32432321,"Ungrouped",-0.0732346435483871,9
"93",-0.09266412,-0.27799139,"Ungrouped",-0.0266763736363636,9
"114",-0.09266412,-0.23165957,"Ungrouped",-0.0508160219354839,9
"135",-0.09266412,-0.18532775,"Ungrouped",-0.095653265483871,9
"156",-0.09266412,-0.13899593,"Ungrouped",-0.111969039583333,9
"177",-0.09266412,-0.09266412,"Ungrouped",-0.0463322979310345,9
"198",-0.09266412,-0.0463323,"Ungrouped",-0.0504203988235294,9
"219",-0.09266412,-4.8e-07,"Ungrouped",0.0086867359375,9
"240",-0.09266412,0.04633134,"Ungrouped",-0.0703562040740741,9
"261",-0.09266412,0.09266316,"Ungrouped",-0.0200776006666667,9
