"subNum","trial_number","cuedAR","uncuedAR","responseAR","rt","shape_org","cued_ellipse","e1_motion_dir","e2_motion_dir","round_number","coherence","cued_motion_dir","pairGlobalOrg","pairMotSame","responseError","sameARCat","pairAR_sameCondition","id","corrCoeff","corrPval"
293737,62,0.18532679,0.4633177,0.04633134,3315,1,1,180,0,0,0.6,180,0,0,-0.13899545,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,63,0.32432225,-0.41698684,0.32432225,3547,1,2,180,180,0,0.8,180,0,1,0,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,64,0.41698588,-0.37065503,0.13899498,5995,0,2,270,270,0,0.8,270,1,1,-0.2779909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,65,-0.46331866,-0.13899593,-0.13899593,4802,1,2,90,270,0,0.6,270,0,0,0.32432273,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,66,-0.46331866,-0.18532775,-0.00000048,1849,0,1,0,0,0,0.8,0,1,1,0.46331818,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,67,0.27799043,-0.23165957,-0.00000048,3641,0,1,180,180,0,0.6,180,1,1,-0.27799091,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,68,-0.09266412,0.13899498,-0.13899593,1863,0,2,270,270,0,0.6,270,1,1,-0.04633181,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,69,0.32432225,-0.41698684,0.13899498,3649,1,2,90,270,0,0.8,270,0,0,-0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,70,-0.0463323,-0.09266412,0.13899498,1869,1,2,180,180,0,0.6,180,0,1,0.18532728,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,71,0.27799043,-0.00000048,-0.09266412,1490,1,2,90,270,0,0.8,270,0,0,-0.37065455,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,72,-0.46331866,0.37065407,0.23165861,1660,1,1,270,90,0,0.6,270,0,0,0.69497727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,73,0.04633134,-0.09266412,-0.00000048,1344,0,1,90,270,0,0.6,90,1,0,-0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,74,-0.23165957,-0.09266412,0.04633134,1752,0,2,0,0,0,0.6,0,1,1,0.27799091,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,75,0.37065407,0.37065407,0.4633177,1907,1,2,270,90,0,0.8,90,0,0,0.09266363,1,1,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,76,0.09266316,0.13899498,-0.09266412,1896,0,1,90,90,0,0.8,90,1,1,-0.18532728,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,77,-0.32432321,0.27799043,-0.09266412,3164,0,1,270,90,0,0.6,270,1,0,0.23165909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,78,-0.0463323,-0.18532775,0.09266316,1849,1,1,180,0,0,0.6,180,0,0,0.13899546,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,79,-0.32432321,-0.23165957,-0.0463323,1246,0,2,0,180,0,0.6,180,1,0,0.27799091,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,80,0.41698588,-0.0463323,0.13899498,1492,0,2,180,180,0,0.8,180,1,1,-0.2779909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,81,-0.18532775,-0.32432321,-0.0463323,3420,0,2,180,180,0,0.6,180,1,1,0.13899545,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,82,-0.27799139,-0.46331866,0.13899498,1874,0,1,180,0,0,0.8,180,1,0,0.41698637,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,83,0.04633134,0.32432225,-0.18532775,1879,0,2,180,180,0,0.6,180,1,1,-0.23165909,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,84,0.04633134,0.32432225,-0.09266412,1754,1,2,0,0,0,0.8,0,0,1,-0.13899546,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,85,-0.41698684,-0.27799139,0.13899498,2858,0,2,90,90,0,0.6,90,1,1,0.55598182,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,86,0.04633134,0.04633134,-0.09266412,1267,0,2,270,90,0,0.8,90,1,0,-0.13899546,1,1,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,87,0.41698588,0.13899498,-0.00000048,1682,1,2,90,270,0,0.8,270,0,0,-0.41698636,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,88,-0.13899593,0.18532679,0.13899498,2248,1,1,180,0,0,0.6,180,0,0,0.27799091,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,89,-0.32432321,-0.46331866,-0.13899593,1599,1,1,270,90,0,0.6,270,0,0,0.18532728,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,90,-0.46331866,0.18532679,-0.32432321,1734,1,1,180,0,0,0.8,180,0,0,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,91,-0.00000048,0.32432225,-0.00000048,2324,1,2,270,90,0,0.6,90,0,0,0,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,92,0.4633177,-0.37065503,0.32432225,2118,0,2,180,180,0,0.8,180,1,1,-0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,93,0.09266316,-0.32432321,0.04633134,1976,1,2,180,180,0,0.8,180,0,1,-0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,94,-0.27799139,-0.41698684,-0.27799139,2504,1,1,90,270,0,0.6,90,0,0,0,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,95,0.4633177,-0.23165957,0.32432225,1959,0,1,90,90,0,0.6,90,1,1,-0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,96,-0.46331866,-0.37065503,-0.27799139,1416,0,1,270,90,0,0.6,270,1,0,0.18532727,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,97,-0.27799139,-0.27799139,0.09266316,1550,0,1,180,180,0,0.6,180,1,1,0.37065455,1,1,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,98,-0.37065503,0.41698588,-0.0463323,1848,1,2,270,270,0,0.8,270,0,1,0.32432273,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,99,0.13899498,-0.46331866,0.23165861,2306,1,1,90,90,0,0.6,90,0,1,0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,100,0.23165861,-0.37065503,0.32432225,1381,0,1,270,270,0,0.6,270,1,1,0.09266364,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,101,0.09266316,-0.23165957,-0.09266412,1865,0,2,180,180,0,0.8,180,1,1,-0.18532728,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,102,0.37065407,-0.32432321,-0.0463323,1898,0,2,0,0,0,0.6,0,1,1,-0.41698637,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,103,-0.13899593,0.09266316,-0.13899593,2484,1,2,270,270,0,0.6,270,0,1,0,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,104,0.18532679,0.23165861,0.04633134,1654,0,2,0,180,0,0.8,180,1,0,-0.13899545,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,105,-0.00000048,0.13899498,0.04633134,1454,0,1,180,180,0,0.6,180,1,1,0.04633182,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,106,-0.37065503,-0.32432321,-0.13899593,1530,1,2,180,0,0,0.6,0,0,0,0.2316591,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,107,0.09266316,0.09266316,0.09266316,1548,1,1,270,270,0,0.6,270,0,1,0,1,1,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,108,0.09266316,0.41698588,-0.00000048,2044,1,1,0,0,0,0.6,0,0,1,-0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,109,-0.13899593,0.32432225,-0.00000048,2029,1,1,0,0,0,0.6,0,0,1,0.13899545,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,110,-0.00000048,0.4633177,0.18532679,1801,1,1,0,180,0,0.6,0,0,0,0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,111,0.4633177,0.23165861,-0.09266412,1352,0,2,180,0,0,0.8,0,1,0,-0.55598182,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,112,-0.32432321,0.27799043,-0.0463323,1452,1,2,270,270,0,0.8,270,0,1,0.27799091,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,113,-0.0463323,-0.46331866,-0.00000048,2048,1,2,0,0,0,0.6,0,0,1,0.04633182,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,114,-0.18532775,0.37065407,-0.00000048,1507,0,1,0,0,0,0.8,0,1,1,0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,115,0.18532679,0.13899498,-0.09266412,1343,0,2,270,270,0,0.8,270,1,1,-0.27799091,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,116,0.37065407,-0.18532775,0.41698588,1850,0,2,270,270,0,0.6,270,1,1,0.04633181,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,117,-0.18532775,0.18532679,-0.09266412,1350,0,1,270,270,0,0.6,270,1,1,0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,118,-0.0463323,-0.18532775,0.04633134,1317,0,1,270,270,0,0.6,270,1,1,0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,119,0.09266316,-0.00000048,0.18532679,1487,0,2,270,90,0,0.8,90,1,0,0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,119,0.09266316,-0.00000048,0.18532679,1487,0,2,270,90,0,0.8,90,1,0,0.09266363,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,0,-0.13899593,-0.41698684,-0.00000048,1916,1,2,0,180,1,0.8,180,0,0,0.13899545,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,1,0.37065407,0.13899498,0.13899498,3173,1,2,0,0,1,0.6,0,0,1,-0.23165909,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,2,0.32432225,0.27799043,0.13899498,1853,0,2,270,270,1,0.8,270,1,1,-0.18532727,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,3,0.18532679,-0.09266412,-0.0463323,2107,1,1,0,0,1,0.8,0,0,1,-0.23165909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,4,-0.27799139,0.04633134,0.09266316,1772,0,1,90,90,1,0.6,90,1,1,0.37065455,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,5,0.32432225,-0.0463323,0.13899498,2440,1,1,0,180,1,0.6,0,0,0,-0.18532727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,6,-0.41698684,0.32432225,-0.0463323,1765,1,2,0,180,1,0.8,180,0,0,0.37065454,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,7,0.41698588,-0.09266412,0.13899498,1708,1,2,180,180,1,0.8,180,0,1,-0.2779909,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,8,-0.23165957,0.13899498,0.09266316,1679,1,1,180,0,1,0.8,180,0,0,0.32432273,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,9,0.32432225,0.41698588,0.23165861,1799,0,2,90,90,1,0.6,90,1,1,-0.09266364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,10,-0.32432321,-0.09266412,0.27799043,1551,0,1,180,0,1,0.8,180,1,0,0.60231364,1,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,11,-0.09266412,0.09266316,0.04633134,1546,0,2,90,90,1,0.8,90,1,1,0.13899546,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,12,0.13899498,-0.0463323,0.04633134,1711,1,1,90,270,1,0.6,90,0,0,-0.09266364,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,13,-0.27799139,0.37065407,0.41698588,1328,0,2,0,180,1,0.8,180,1,0,0.69497727,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,14,0.41698588,0.41698588,0.50964952,1729,0,1,270,270,1,0.8,270,1,1,0.09266364,1,1,"o1","0.481716294927003","0.000000000000000000000198007682181642"
293737,15,0.32432225,-0.0463323,-0.00000048,1743,0,1,90,90,1,0.6,90,1,1,-0.32432273,0,0,"o1","0.481716294927003","0.000000000000000000000198007682181642"
